author;year;tpos;ttotal;cpos;ctotal
[1] Allen;2013;;;;
[2] Selinger;2013;14;117;16;112
[3] Navarro-Rodriguez;2013;;;;
[4] Tolone;2012;;;;
[5] Du;2012;;;;
[6] Ojetti;2012;;;;
[7] Hickson;2007;0;69;0;66
[8] Beausoleil;2007;21;44;20;45
[9] Lionetti;2006;;;;
[10] Sheu;2006;;;;
[11] Yoon;2011;43;151;47;186
[12] Pozzoni;2012;;;;
[13] Szajewska;2009;;;;
[14] Song;2010;48;330;63;331
[15] Bekar;2011;;;;
[16] Duman;2005;;;;
[17] Cindoruk;2007;14;62;37;62
[18] de Bortoli;2007;10;105;41;101
[19] Manfredi;2012;29;73;50;76
[20] Kim;2008;69;168;47;179
[21] Medeiros;2011;;;;
[22] Yasar;2010;;;;
[23] Song;2010;;;;
[24] Sampalis;2010;72;216;76;221
[25] Savas-Erdeve;2009;0;40;0;45
[26] Merenstein;2009;;;;
[27] Engelbrektson;2009;;;;
[28] McFarland;1994;;;;
[29] McFarland;1995;;;;
[30] Gotz;1979;;;;
[31] Tankanow;1990;;;;
[32] Black;1991;;;;
[33] Wong;2014;;;;
[34] Wang;2014;;;;
[35] Ouwehand;2014;;;;
[36] Ouwehand;2014;;;;
[37] Francavilla;2014;18;44;27;43
[38] Zojaji;2013;;;;
[39] Shavakhi;2013;17;90;15;90
[40] Pellino;2013;0;10;0;8
[41] Mohseni;2013;0;41;0;44
[42] Kumar;2013;;;;
[43] Dajani;2013;;;;
[44] Ahmad;2013;;;;
[45] Souza;2012;;;;
[46] Pande;2012;;;;
[47] Mirzaee;2012;;;;
[48] Deguchi;2012;;;;
[49] Cimperman;2011;;;;
[50] Koning;2010;;;;
[51] Lönnermark;2010;;;;
[52] Gao;2010;;;;
[53] Gao;2010;;;;
[54] Martinez;2009;;;;
[55] Hurduc;2009;4;48;13;42
[56] Safdar;2008;2;23;5;16
[57] Ruszczynski;2008;0;120;0;120
[58] Wenus;2008;;;;
[59] Koning;2008;15;19;17;19
[60] Klarin;2008;;;;
[61] Imase;2008;;;;
[62] Imase;2008;;;;
[63] Scaccianoce;2008;1;17;4;16
[64] Scaccianoce;2008;3;15;4;16
[65] Forestier;2008;;;;
[66] Szymanski;2008;0;40;0;38
[67] Myllyluoma;2007;;;;
[68] Conway;2007;;;;
[69] Conway;2007;;;;
[70] Ziemniak;2006;;;;
[71] Goldman;2006;;;;
[72] Can;2006;;;;
[73] Anukam;2006;0;49;0;57
[74] Sýkora;2005;7;39;9;47
[75] Shimbo;2005;;;;
[76] Kotowska;2005;0;119;0;127
[77] Myllyluoma;2005;20;23;22;24
[78] Lawrence;2005;;;;
[79] Jernberg;2005;;;;
[80] Correa;2005;0;80;0;77
[81] Erdeve;2004;;;;
[82] Plummer;2004;;;;
[83] Nista;2004;40;53;43;51
[84] Sullivan;2003;;;;
[85] Beniwal;2003;;;;
[86] Jirapinyo;2002;;;;
[87] Rayes;2002;;;;
[88] Cremonini;2002;3;21;12;21
[89] Cremonini;2002;3;22;12;21
[90] Sheu;2002;15;80;53;80
[91] Felley;2001;;;;
[92] Armuzzi;2001;26;60;37;60
[93] Armuzzi;2001;12;30;20;30
[94] Thomas;2001;;;;
[95] De Francesco;2000;;;;
[96] Canducci;2000;;;;
[97] Arvola;1999;0;61;0;58
[98] Lewis;1998;;;;
[99] Surawicz;1989;0;116;0;64
[100] Wunderlich;1989;0;23;0;22
[101] Chatterjee;2013;4;176;0;167
[102] de Vrese;2011;;;;
[103] Park;2007;;;;
[104] Frigerio;1986;;;;
[105] Vanderhoof;1999;;;;
[106] Li D;2010;;;;
[107] Borgia;1982;;;;
[108] Benhamou;1999;;;;
[109] Nord;1997;9;11;10;12
[110] Rafiq ;2007;;;;
[111] Miller (a);2008;;;;
[112] Miller (b);2008;;;;
[113] Forssten;2014;16;40;19;40
