"ID" "Perioden" "PrijsindexBestaandeKoopwoningen_1" "OntwikkelingTOVVoorgaandePeriode_2" "OntwikkelingTOVEenJaarEerder_3" "AantalVerkochteWoningen_4" "OntwikkelingTOVVoorgaandePeriode_5" "OntwikkelingTOVEenJaarEerder_6" "GemiddeldeVerkoopprijs_7" "TotaleWaardeVerkoopprijzen_8" "Perioden_C"
0 "1995MM01" 36.5 NA NA 8793 NA NA 88991 782 "1995 januari"
1 "1995MM02" 36.7 0.6 NA 10103 14.9 NA 89741 907 "1995 februari"
2 "1995MM03" 36.6 -0.3 NA 11838 17.2 NA 90432 1071 "1995 maart"
3 "1995KW01" 36.6 NA NA 30734 NA NA 89792 2760 "1995 1e kwartaal"
4 "1995MM04" 36.8 0.5 NA 10626 -10.2 NA 89808 954 "1995 april"
5 "1995MM05" 37 0.6 NA 12746 20 NA 92326 1177 "1995 mei"
6 "1995MM06" 37.4 1 NA 13682 7.3 NA 93652 1281 "1995 juni"
7 "1995KW02" 37.1 1.2 NA 37054 20.6 NA 92094 3412 "1995 2e kwartaal"
8 "1995MM07" 37.8 1.1 NA 14346 4.9 NA 95222 1366 "1995 juli"
9 "1995MM08" 38.2 1.2 NA 13580 -5.3 NA 96583 1312 "1995 augustus"
10 "1995MM09" 38.3 0.1 NA 12572 -7.4 NA 95676 1203 "1995 september"
11 "1995KW03" 38.1 2.8 NA 40498 9.3 NA 95819 3880 "1995 3e kwartaal"
12 "1995MM10" 38.5 0.5 NA 13629 8.4 NA 95076 1296 "1995 oktober"
13 "1995MM11" 38.4 -0.1 NA 13363 -2 NA 95408 1275 "1995 november"
14 "1995MM12" 38.9 1.1 NA 19290 44.4 NA 96804 1867 "1995 december"
15 "1995KW04" 38.6 1.3 NA 46282 14.3 NA 95892 4438 "1995 4e kwartaal"
16 "1995JJ00" 37.6 NA NA 154568 NA NA 93750 14491 "1995"
17 "1996MM01" 39.4 1.4 7.9 10193 -47.2 15.9 96767 986 "1996 januari"
18 "1996MM02" 39.7 0.7 8 12061 18.3 19.4 96539 1164 "1996 februari"
19 "1996MM03" 40 0.7 9.1 13415 11.2 13.3 98188 1317 "1996 maart"
20 "1996KW01" 39.7 2.8 8.3 35669 -22.9 16.1 97224 3468 "1996 1e kwartaal"
21 "1996MM04" 40.6 1.7 10.4 14610 8.9 37.5 99609 1455 "1996 april"
22 "1996MM05" 41.1 1.2 11.1 15548 6.4 22 101317 1575 "1996 mei"
23 "1996MM06" 41.3 0.4 10.6 13652 -12.2 -0.2 99819 1363 "1996 juni"
24 "1996KW02" 41 3.4 10.7 43810 22.8 18.2 100280 4393 "1996 2e kwartaal"
25 "1996MM07" 42 1.6 11.1 17802 30.4 24.1 104167 1854 "1996 juli"
26 "1996MM08" 42.5 1.2 11.1 14922 -16.2 9.9 105608 1576 "1996 augustus"
27 "1996MM09" 42.9 1 12.1 13858 -7.1 10.2 104589 1449 "1996 september"
28 "1996KW03" 42.5 3.5 11.5 46582 6.3 15 104754 4880 "1996 3e kwartaal"
29 "1996MM10" 43.1 0.3 11.9 14781 6.7 8.5 104819 1549 "1996 oktober"
30 "1996MM11" 43.5 1 13.1 14700 -0.5 10 106055 1559 "1996 november"
31 "1996MM12" 43.6 0.3 12.2 20209 37.5 4.8 108073 2184 "1996 december"
32 "1996KW04" 43.4 2.2 12.4 49690 6.7 7.4 106508 5292 "1996 4e kwartaal"
33 "1996JJ00" 41.6 10.8 10.8 175751 13.7 13.7 102607 18033 "1996"
34 "1997MM01" 44.2 1.3 12.1 10660 -47.3 4.6 105876 1129 "1997 januari"
35 "1997MM02" 44.8 1.3 12.9 11837 11 -1.9 107567 1273 "1997 februari"
36 "1997MM03" 45.3 1.2 13.4 13266 12.1 -1.1 107769 1430 "1997 maart"
37 "1997KW01" 44.8 3.2 12.8 35763 -28 0.3 107138 3832 "1997 1e kwartaal"
38 "1997MM04" 45.6 0.7 12.3 15328 15.5 4.9 109670 1681 "1997 april"
39 "1997MM05" 46 0.7 11.7 15688 2.3 0.9 110859 1739 "1997 mei"
40 "1997MM06" 46.3 0.8 12.1 16144 2.9 18.3 112207 1811 "1997 juni"
41 "1997KW02" 46 2.7 12.1 47160 31.9 7.6 110934 5232 "1997 2e kwartaal"
42 "1997MM07" 46.9 1.2 11.7 18483 14.5 3.8 114344 2113 "1997 juli"
43 "1997MM08" 47.5 1.4 11.8 15506 -16.1 3.9 116161 1801 "1997 augustus"
44 "1997MM09" 47.5 0 10.7 15630 0.8 12.8 116411 1820 "1997 september"
45 "1997KW03" 47.3 2.9 11.4 49619 5.2 6.5 115563 5734 "1997 3e kwartaal"
46 "1997MM10" 48.1 1.2 11.7 16640 6.5 12.6 116785 1943 "1997 oktober"
47 "1997MM11" 48.5 0.7 11.4 14415 -13.4 -1.9 115768 1669 "1997 november"
48 "1997MM12" 48.5 0 11.1 22037 52.9 9 117870 2598 "1997 december"
49 "1997KW04" 48.3 2.2 11.4 53092 7 6.8 116960 6210 "1997 4e kwartaal"
50 "1997JJ00" 46.6 11.9 11.9 185634 5.6 5.6 113163 21007 "1997"
51 "1998MM01" 48.9 0.9 10.7 10084 -54.2 -5.4 118196 1192 "1998 januari"
52 "1998MM02" 49.6 1.4 10.8 12637 25.3 6.8 118483 1497 "1998 februari"
53 "1998MM03" 49.9 0.7 10.2 15407 21.9 16.1 119635 1843 "1998 maart"
54 "1998KW01" 49.5 2.4 10.6 38128 -28.2 6.6 118873 4532 "1998 1e kwartaal"
55 "1998MM04" 50.3 0.7 10.1 15145 -1.7 -1.2 120019 1818 "1998 april"
56 "1998MM05" 50.8 1 10.5 16299 7.6 3.9 122503 1997 "1998 mei"
57 "1998MM06" 51.2 0.9 10.5 15966 -2 -1.1 121460 1939 "1998 juni"
58 "1998KW02" 50.8 2.6 10.4 47410 24.3 0.5 121358 5754 "1998 2e kwartaal"
59 "1998MM07" 51.8 1.1 10.5 19679 23.3 6.5 126636 2492 "1998 juli"
60 "1998MM08" 52.5 1.4 10.5 16435 -16.5 6 127865 2101 "1998 augustus"
61 "1998MM09" 53.1 1.2 11.8 15039 -8.5 -3.8 127758 1921 "1998 september"
62 "1998KW03" 52.5 3.4 10.9 51153 7.9 3.1 127361 6515 "1998 3e kwartaal"
63 "1998MM10" 53.6 0.9 11.4 16428 9.2 -1.3 128238 2107 "1998 oktober"
64 "1998MM11" 54.1 0.9 11.6 16189 -1.5 12.3 127574 2065 "1998 november"
65 "1998MM12" 54.2 0.2 11.8 23314 44 5.8 129378 3016 "1998 december"
66 "1998KW04" 54 2.8 11.6 55931 9.3 5.3 128521 7188 "1998 4e kwartaal"
67 "1998JJ00" 51.7 10.9 10.9 192622 3.8 3.8 124540 23989 "1998"
68 "1999MM01" 55.4 2.2 13.2 10756 -53.9 6.7 130266 1401 "1999 januari"
69 "1999MM02" 56 1.2 12.9 13909 29.3 10.1 130784 1819 "1999 februari"
